"Count","Name","Price","I purchased this phone and didn't work","Review","Quantity","Brand","Brand_Number"
"0","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I purchased this phone and didn't work","108","Samsung","8"
"1","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","This item is terrible, the worst thing I ever brought. I found out this is the Japanese version of the M8 so it doesn't work with any service here.","108","Samsung","8"
"2","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","The phone worked very good the first month, then it started freezing up all the time and wont come on half the time","108","Samsung","8"
"3","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","im loven it","108","Samsung","8"
"4","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","only 1 star because this phone looks good it supports metro and t mobile but the signal is s***ty instead of a 3g signal it has 2 small E's the internet is extremely slow i wouldn't recommend this phone for more than 50 dollars i haven't had any unwanted downloads its just the phone doesnt work for the plan i have which is 4g i would downgrade to 3g but it stil doesnt work so BE AWARE THAT THIS PHONE MAY NOT BE A SAFE BUY IF YOU LIVE IN AREAS WHERE CONNECTIONS CAN BE IFFY","108","Samsung","8"
"5","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Didn't like the phone at all had it for a week and bought another one. Service wasn't good kept turning on and off can't download anything on to it.","108","Samsung","8"
"6","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","My PHONE HASN'T TURNT ON BEEN ON THE CHARGER FOR THE LONGEST","108","Samsung","8"
"7","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","It wasn't unlocked like it was supposed to be. I couldn't use it and had to return it.","108","Samsung","8"
"8","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","Excellent phone great size friendly interface could be faster but still has a good speed behind it's name camera quite fine if you ask me.......sad to say i got the phone February the 8 or so and the person who I refer to as bother and the person I refer to as mother destroyed it just last night it's like my heart took a dive into hell.......but eh the buy it again button will be pressed cause I love em phones","108","Samsung","8"
"9","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","Love it. Thanks","108","Samsung","8"
"10","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I didn't like this purchase at all the phone suppose to be unlocked but I have no service the phone is sitting in the box it came in","108","Samsung","8"
"11","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","2","The phone don't work right it freezes up on me","108","Samsung","8"
"12","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","Great","108","Samsung","8"
"13","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","3","It's ok but it needs a better case","108","Samsung","8"
"14","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","4","nice one my wife is really enjoying the pnone","108","Samsung","8"
"15","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","4","The screen lags a bit, but is very clear. Camera is alright, takes pics tho. So far I can play most of my games. Netflix can be played and speakers are at a great volume. Overall it's pretty good for the price.","108","Samsung","8"
"16","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","How do I find a cases for this phone","108","Samsung","8"
"17","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","after buying this cell for my daughter, apx one month later it had 6 trojan viruses that coould not be fixed. so i had to buy ANOTHER CELL PHONE AND SIM CARD CAUSE THE NEW CELL WASNT COMPATABLE WITH NEW PHONE.","108","Samsung","8"
"18","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","The screen stopped working hours after the delivery, the camera sucks, it's slow, it was bigger than expected, and there is very low storage to begin with. Never get this phone, I'll be sending mine back to the company for a refund if you have the phone or want it, don't.","108","Samsung","8"
"19","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Don't buy this phone, it came with a porno malware that doesn't go away, freezes up and lockes down.","108","Samsung","8"
"20","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I do not recommend.","108","Samsung","8"
"21","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","2","it doesnt even cute on now","108","Samsung","8"
"22","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","ok","108","Samsung","8"
"23","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","The phone is amazing other than the worthless camera. I used to love this phone but now I hate it, it downloads apps on it's own and it has a virus on it. Don't buy this phone its not worth it.","108","Samsung","8"
"24","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","This phone is 2g I could only use it on wi-fi for things besides phone calls and text and sometime didn't even receive texts.","108","Samsung","8"
"25","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","The phone I receive would not read my verizon chip when I place it in the Slot. And while trying to send it back it costs me $25.00 to send it back to Seller in China. And I really need me another phone. Thanks JessicaYou may contact me at 843-709-3118","108","Samsung","8"
"26","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Awful product. Don't buy it!","108","Samsung","8"
"27","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","4","Don't know what's its like wait to see but I did hear it's a great phone","108","Samsung","8"
"28","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","4","It's OK...","108","Samsung","8"
"29","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Supposed to be a brand new unlock phone. The phone is no good, seem to be used and didnt work like a brand new phone at all. I dont recommend this phone to no one. Touch screen didnt work at all, you cant even reset the phone at all. Had it for 1 day and returning it now","108","Samsung","8"
"30","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","This phone is a generic piece of garbage sent driectly from China. No way to return it. I have barely used it, have no photos, videos, or music, etc., and keep getting an error message that the internal storage is running out and I need to free up some space. The message prevents me from using the phone. DON'T BUY ONE OF THESE!!!!!!!!!","108","Samsung","8"
"31","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","4","Very satisfy","108","Samsung","8"
"32","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","These phones do not receive the internet at all do not buy them internet do not come in Metro PCS will not activate them the SIM code is fake do not buy them phones have been stolen that is why internet will not work Sam coats are fake do not buy them can't stress it enough do not","108","Samsung","8"
"33","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","This phone just didnt hold up to my expectations of what I thought it would be. There's a lot wrong with it","108","Samsung","8"
"34","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","2","Built in malware","108","Samsung","8"
"35","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","It is very beautiful and really smart! However it was missing USB cord ? if you have one please send me one. Carolyn Ensley","108","Samsung","8"
"36","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","4","Ok","108","Samsung","8"
"37","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","My pacage arrive whitout cellphone","108","Samsung","8"
"38","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","this phone is buggie i got it for me and my boyfriend because some people in the reviews was saying its a good phone. we hate this phone and is very soon getting a new oneit pops up random addswont stay connected to internetturns on and off by its selfand much more","108","Samsung","8"
"39","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","4","It would be perfect if I could find instructions for operating it. It did not come with any instruction manual.","108","Samsung","8"
"40","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","so slow and downloaded viruses and keyboard stopped working","108","Samsung","8"
"41","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","It isn't worth it","108","Samsung","8"
"42","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","bad","108","Samsung","8"
"43","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","This item is nothing what is suppose to be at all. Very dissapointed in this product you can not use internet now Wi-Fi norCalls or texts. Very dissatisfied","108","Samsung","8"
"44","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I got my cell phone,but no SIM card was not include.why ,cause I know every cells phone comes with a SIM card.","108","Samsung","8"
"45","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I can't get it turned on thur straight talk I thought it was unlocked","108","Samsung","8"
"46","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Not A Good Camera !","108","Samsung","8"
"47","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Does not work with straight talk","108","Samsung","8"
"48","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","2","The sound is blocked. It's not functioning properly as I was expecting it","108","Samsung","8"
"49","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","Happy 😊","108","Samsung","8"
"50","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","2","This phone does work on walmart family moble, HOWEVER, it is very slow, downloads random apps that I never even a proved. If I had known the phone was going to be like this I would never wasted 80$ on it. This is what I get for trying to go the cheep route.","108","Samsung","8"
